"Year","Ancestors"
1848,2
1859,2
1859,2
1859,2
1859,2
1863,2
1863,2
1863,2
1863,2
1863,2
1864,2
1864,2
1865,1
1865,2
1866,2
1868,2
1873,4
1873,4
1874,2
1874,2
1874,2
1874,4
1876,2
1876,2
1876,2
1876,2
1876,2
1877,2
1877,2
1877,2
1877,2
1877,4
1878,1
1878,2
1878,2
1878,2
1879,1
1879,2
1879,4
1880,2
1881,1
1881,2
1881,2
1881,4
1882,2
1882,2
1882,2
1883,1
1883,2
1883,2
1883,2
1883,2
1883,2
1883,4
1883,4
1883,4
1884,2
1884,2
1884,2
1885,2
1885,2
1885,2
1885,2
1885,2
1885,2
1886,1
1886,2
1886,2
1886,2
1887,1
1887,1
1887,2
1887,2
1887,2
1887,2
1887,2
1887,2
1887,2
1887,4
1887,4
1887,4
1888,1
1888,2
1888,2
1888,2
1888,2
1888,2
1888,2
1888,4
1889,1
1889,1
1889,2
1889,2
1889,2
1889,2
1889,2
1889,2
1889,2
1889,2
1889,4
1889,4
1890,1
1890,1
1890,1
1890,2
1890,2
1890,2
1890,2
1890,2
1890,2
1890,2
1890,2
1890,3
1891,1
1891,2
1891,2
1891,2
1891,2
1891,4
1892,1
1892,1
1892,1
1892,1
1892,2
1892,2
1892,2
1892,2
1892,2
1892,2
1892,2
1892,2
1892,2
1892,2
1892,2
1892,2
1892,4
1892,4
1892,4
1892,4
1892,4
1892,4
1892,4
1893,1
1893,1
1893,1
1893,1
1893,1
1893,2
1893,2
1893,2
1893,2
1893,2
1893,2
1893,2
1893,2
1893,2
1893,2
1893,2
1893,2
1893,2
1893,2
1893,2
1893,4
1893,4
1893,4
1893,4
1893,4
1894,1
1894,1
1894,1
1894,1
1894,1
1894,1
1894,1
1894,1
1894,1
1894,2
1894,2
1894,2
1894,2
1894,2
1894,2
1894,2
1894,2
1894,2
1894,2
1894,2
1894,2
1894,2
1894,2
1894,2
1894,2
1894,2
1894,2
1894,2
1894,2
1894,2
1894,4
1894,4
1894,4
1894,4
1894,5
1894,6
1895,1
1895,1
1895,1
1895,1
1895,1
1895,1
1895,1
1895,2
1895,2
1895,2
1895,2
1895,2
1895,2
