"Year","HybridType","Count"
1848,"Complex Hybrid",0
1848,"Highly Complex Hybrid",0
1848,"Primary Hybrid",1
1859,"Complex Hybrid",0
1859,"Highly Complex Hybrid",0
1859,"Primary Hybrid",4
1863,"Complex Hybrid",0
1863,"Highly Complex Hybrid",0
1863,"Primary Hybrid",5
1864,"Complex Hybrid",0
1864,"Highly Complex Hybrid",0
1864,"Primary Hybrid",2
1865,"Complex Hybrid",0
1865,"Highly Complex Hybrid",0
1865,"Primary Hybrid",2
1866,"Complex Hybrid",0
1866,"Highly Complex Hybrid",0
1866,"Primary Hybrid",1
1868,"Complex Hybrid",0
1868,"Highly Complex Hybrid",0
1868,"Primary Hybrid",1
1873,"Complex Hybrid",2
1873,"Highly Complex Hybrid",0
1873,"Primary Hybrid",0
1874,"Complex Hybrid",1
1874,"Highly Complex Hybrid",0
1874,"Primary Hybrid",3
1876,"Complex Hybrid",0
1876,"Highly Complex Hybrid",0
1876,"Primary Hybrid",5
1877,"Complex Hybrid",1
1877,"Highly Complex Hybrid",0
1877,"Primary Hybrid",4
1878,"Complex Hybrid",0
1878,"Highly Complex Hybrid",0
1878,"Primary Hybrid",4
1879,"Complex Hybrid",1
1879,"Highly Complex Hybrid",0
1879,"Primary Hybrid",2
1880,"Complex Hybrid",0
1880,"Highly Complex Hybrid",0
1880,"Primary Hybrid",1
1881,"Complex Hybrid",0
1881,"Highly Complex Hybrid",0
1881,"Primary Hybrid",4
1882,"Complex Hybrid",0
1882,"Highly Complex Hybrid",0
1882,"Primary Hybrid",3
1883,"Complex Hybrid",2
1883,"Highly Complex Hybrid",0
1883,"Primary Hybrid",7
1884,"Complex Hybrid",0
1884,"Highly Complex Hybrid",0
1884,"Primary Hybrid",3
1885,"Complex Hybrid",0
1885,"Highly Complex Hybrid",0
1885,"Primary Hybrid",6
1886,"Complex Hybrid",0
1886,"Highly Complex Hybrid",0
1886,"Primary Hybrid",4
1887,"Complex Hybrid",2
1887,"Highly Complex Hybrid",0
1887,"Primary Hybrid",10
1888,"Complex Hybrid",1
1888,"Highly Complex Hybrid",0
1888,"Primary Hybrid",7
1889,"Complex Hybrid",2
1889,"Highly Complex Hybrid",0
1889,"Primary Hybrid",10
1890,"Complex Hybrid",0
1890,"Highly Complex Hybrid",0
1890,"Primary Hybrid",12
1891,"Complex Hybrid",1
1891,"Highly Complex Hybrid",0
1891,"Primary Hybrid",5
1892,"Complex Hybrid",4
1892,"Highly Complex Hybrid",0
1892,"Primary Hybrid",19
1893,"Complex Hybrid",4
1893,"Highly Complex Hybrid",0
1893,"Primary Hybrid",21
1894,"Complex Hybrid",5
1894,"Highly Complex Hybrid",0
1894,"Primary Hybrid",31
1895,"Complex Hybrid",9
1895,"Highly Complex Hybrid",0
1895,"Primary Hybrid",26
1896,"Complex Hybrid",6
1896,"Highly Complex Hybrid",1
1896,"Primary Hybrid",22
1897,"Complex Hybrid",5
1897,"Highly Complex Hybrid",2
1897,"Primary Hybrid",36
1898,"Complex Hybrid",6
1898,"Highly Complex Hybrid",2
1898,"Primary Hybrid",26
1899,"Complex Hybrid",9
1899,"Highly Complex Hybrid",0
1899,"Primary Hybrid",33
1900,"Complex Hybrid",13
1900,"Highly Complex Hybrid",6
1900,"Primary Hybrid",49
1901,"Complex Hybrid",17
1901,"Highly Complex Hybrid",1
1901,"Primary Hybrid",32
1902,"Complex Hybrid",17
1902,"Highly Complex Hybrid",3
1902,"Primary Hybrid",54
1903,"Complex Hybrid",15
1903,"Highly Complex Hybrid",2
1903,"Primary Hybrid",26
1904,"Complex Hybrid",20
1904,"Highly Complex Hybrid",5
1904,"Primary Hybrid",23
1905,"Complex Hybrid",21
1905,"Highly Complex Hybrid",3
1905,"Primary Hybrid",15
1906,"Complex Hybrid",23
1906,"Highly Complex Hybrid",7
1906,"Primary Hybrid",23
1907,"Complex Hybrid",39
1907,"Highly Complex Hybrid",8
1907,"Primary Hybrid",19
1908,"Complex Hybrid",29
1908,"Highly Complex Hybrid",13
1908,"Primary Hybrid",18
1909,"Complex Hybrid",46
1909,"Highly Complex Hybrid",22
1909,"Primary Hybrid",11
1910,"Complex Hybrid",45
1910,"Highly Complex Hybrid",19
1910,"Primary Hybrid",8
1911,"Complex Hybrid",53
1911,"Highly Complex Hybrid",26
1911,"Primary Hybrid",12
1912,"Complex Hybrid",39
1912,"Highly Complex Hybrid",21
1912,"Primary Hybrid",8
1913,"Complex Hybrid",38
1913,"Highly Complex Hybrid",21
1913,"Primary Hybrid",6
1914,"Complex Hybrid",72
1914,"Highly Complex Hybrid",36
1914,"Primary Hybrid",13
1915,"Complex Hybrid",60
1915,"Highly Complex Hybrid",53
1915,"Primary Hybrid",13
1916,"Complex Hybrid",63
1916,"Highly Complex Hybrid",59
1916,"Primary Hybrid",8
1917,"Complex Hybrid",64
1917,"Highly Complex Hybrid",59
1917,"Primary Hybrid",5
1918,"Complex Hybrid",29
1918,"Highly Complex Hybrid",40
1918,"Primary Hybrid",2
1919,"Complex Hybrid",38
1919,"Highly Complex Hybrid",42
1919,"Primary Hybrid",3
1920,"Complex Hybrid",42
1920,"Highly Complex Hybrid",64
1920,"Primary Hybrid",12
1921,"Complex Hybrid",32
1921,"Highly Complex Hybrid",67
1921,"Primary Hybrid",9
1922,"Complex Hybrid",65
1922,"Highly Complex Hybrid",90
1922,"Primary Hybrid",6
1923,"Complex Hybrid",53
1923,"Highly Complex Hybrid",70
1923,"Primary Hybrid",8
1924,"Complex Hybrid",41
1924,"Highly Complex Hybrid",71
1924,"Primary Hybrid",2
1925,"Complex Hybrid",34
1925,"Highly Complex Hybrid",55
1925,"Primary Hybrid",2
1926,"Complex Hybrid",32
1926,"Highly Complex Hybrid",46
1926,"Primary Hybrid",3
1927,"Complex Hybrid",25
1927,"Highly Complex Hybrid",59
1927,"Primary Hybrid",2
1928,"Complex Hybrid",32
1928,"Highly Complex Hybrid",77
1928,"Primary Hybrid",2
1929,"Complex Hybrid",30
1929,"Highly Complex Hybrid",64
1929,"Primary Hybrid",1
1930,"Complex Hybrid",38
1930,"Highly Complex Hybrid",117
1930,"Primary Hybrid",0
1931,"Complex Hybrid",39
1931,"Highly Complex Hybrid",113
1931,"Primary Hybrid",0
1932,"Complex Hybrid",26
1932,"Highly Complex Hybrid",79
1932,"Primary Hybrid",0
1933,"Complex Hybrid",23
1933,"Highly Complex Hybrid",83
1933,"Primary Hybrid",0
1934,"Complex Hybrid",23
1934,"Highly Complex Hybrid",75
1934,"Primary Hybrid",1
1935,"Complex Hybrid",19
1935,"Highly Complex Hybrid",79
1935,"Primary Hybrid",0
1936,"Complex Hybrid",29
1936,"Highly Complex Hybrid",79
1936,"Primary Hybrid",0
1937,"Complex Hybrid",27
1937,"Highly Complex Hybrid",77
1937,"Primary Hybrid",1
1938,"Complex Hybrid",45
1938,"Highly Complex Hybrid",113
1938,"Primary Hybrid",2
1939,"Complex Hybrid",42
1939,"Highly Complex Hybrid",76
1939,"Primary Hybrid",1
1940,"Complex Hybrid",16
1940,"Highly Complex Hybrid",58
1940,"Primary Hybrid",1
1941,"Complex Hybrid",25
1941,"Highly Complex Hybrid",86
1941,"Primary Hybrid",2
1942,"Complex Hybrid",11
1942,"Highly Complex Hybrid",62
