"Year","Hybrids","Cumulative"
1848,1,1
1859,4,5
1863,5,10
1864,2,12
1865,2,14
1866,1,15
1868,1,16
1873,2,18
1874,4,22
1876,5,27
1877,5,32
1878,4,36
1879,3,39
1880,1,40
1881,4,44
1882,3,47
1883,9,56
1884,3,59
1885,6,65
1886,4,69
1887,12,81
1888,8,89
1889,12,101
1890,12,113
1891,6,119
1892,23,142
1893,25,167
1894,36,203
1895,35,238
1896,29,267
1897,43,310
1898,34,344
1899,42,386
1900,68,454
1901,50,504
1902,74,578
1903,43,621
1904,48,669
1905,39,708
1906,53,761
1907,66,827
1908,60,887
1909,79,966
1910,72,1038
1911,91,1129
1912,68,1197
1913,65,1262
1914,121,1383
1915,126,1509
1916,130,1639
1917,128,1767
1918,71,1838
1919,83,1921
1920,118,2039
1921,108,2147
1922,161,2308
1923,131,2439
1924,114,2553
1925,91,2644
1926,81,2725
1927,86,2811
1928,111,2922
1929,95,3017
1930,155,3172
1931,152,3324
1932,105,3429
1933,106,3535
1934,99,3634
1935,98,3732
1936,108,3840
1937,105,3945
1938,160,4105
1939,119,4224
1940,75,4299
1941,113,4412
1942,74,4486
1943,172,4658
1944,107,4765
1945,190,4955
1946,264,5219
1947,107,5326
1948,226,5552
1949,246,5798
1950,210,6008
1951,196,6204
1952,243,6447
1953,225,6672
1954,286,6958
1955,236,7194
1956,214,7408
1957,258,7666
1958,220,7886
1959,189,8075
1960,311,8386
1961,217,8603
1962,229,8832
1963,283,9115
1964,258,9373
1965,298,9671
1966,270,9941
1967,209,10150
1968,282,10432
1969,281,10713
1970,253,10966
1971,111,11077
1972,130,11207
1973,173,11380
1974,158,11538
1975,166,11704
1976,88,11792
1977,62,11854
1978,85,11939
1979,80,12019
1980,129,12148
1981,102,12250
1982,174,12424
1983,164,12588
1984,157,12745
1985,161,12906
1986,147,13053
1987,160,13213
1988,167,13380
1989,147,13527
1990,137,13664
1991,154,13818
1992,162,13980
1993,117,14097
1994,147,14244
1995,118,14362
1996,105,14467
1997,132,14599
1998,139,14738
1999,150,14888
2000,133,15021
2001,167,15188
2002,154,15342
2003,194,15536
2004,185,15721
2005,210,15931
2006,179,16110
2007,178,16288
2008,130,16418
2009,177,16595
2010,165,16760
2011,140,16900
2012,101,17001
2013,127,17128
2014,139,17267
2015,102,17369
2016,119,17488
2017,98,17586
2018,164,17750
2019,185,17935
2020,148,18083
2021,149,18232
2022,140,18372
2023,196,18568
2024,150,18718
