"Binomial","LastSubgenus","Descendants"
"Cattleya dowiana","Cattleya",34619
"Cattleya warscewiczii","Cattleya",32393
"Cattleya mossiae","Cattleya",32117
"Cattleya trianae","Cattleya",26157
"Cattleya purpurata","Cattleyodes",23894
"Cattleya labiata","Cattleya",22671
"Cattleya tenebrosa","Cattleyodes",20712
"Cattleya warneri","Cattleya",20374
"Cattleya gaskelliana","Cattleya",19429
"Cattleya mendelii","Cattleya",18139
"Cattleya bicolor","Intermediae",17813
"Cattleya cinnabarina","Parviflorae",17463
"Cattleya lueddemanniana","Lawrenceanae",16832
"Cattleya loddigesii","Intermediae",11935
"Cattleya wallisii","Lawrenceanae",11796
"Cattleya xanthina","Cattleyodes",11701
"Cattleya coccinea","Sophronitis",10384
"Cattleya schroederae","Cattleya",10031
"Cattleya intermedia","Intermediae",9270
"Cattleya percivaliana","Cattleya",8334
"Cattleya schilleriana","Intermediae",6778
"Cattleya rex","Cattleya",6697
"Cattleya crispata","Parviflorae",6533
"Cattleya harpophylla","Parviflorae",5648
"Cattleya pumila","Hadrolaelia",5150
"Cattleya walkeriana","Intermediae",4372
"Cattleya guttata","Intermediae",3974
"Cattleya granulosa","Intermediae",3441
"Cattleya forbesii","Intermediae",3304
"Cattleya quadricolor","Cattleya",3287
"Cattleya aclandiae","Intermediae",3261
"Cattleya tigrina","Intermediae",2874
"Cattleya luteola","Stellata",2597
"Cattleya milleri","Parviflorae",1753
"Cattleya briegeri","Parviflorae",1459
"Cattleya harrisoniana","Intermediae",981
"Cattleya amethystoglossa","Intermediae",705
"Cattleya lawrenceana","Lawrenceanae",655
"Cattleya esalqueana","Parviflorae",350
"Cattleya sincorana","Hadrolaelia",315
"Cattleya elongata","Intermediae",314
"Cattleya violacea","Intermediae",311
"Cattleya velutina","Intermediae",209
"Cattleya wittigiana","Sophronitis",194
"Cattleya rupestris","Parviflorae",191
"Cattleya maxima","Maximae",170
"Cattleya bicalhoi","Hadrolaelia",150
"Cattleya crispa","Cattleyodes",149
"Cattleya schofieldiana","Intermediae",149
"Cattleya nobilior","Intermediae",142
"Cattleya cernua","Sophronitis",125
"Cattleya longipes","Parviflorae",116
"Cattleya perrinii","Cattleyodes",112
"Cattleya jongheana","Hadrolaelia",112
"Cattleya alaorii","Hadrolaelia",100
"Cattleya dormaniana","Intermediae",87
"Cattleya lobata","Cattleyodes",70
"Cattleya lundii","Microlaelia",61
"Cattleya caulescens","Parviflorae",39
"Cattleya praestans","Hadrolaelia",38
"Cattleya jenmanii","Cattleya",36
"Cattleya grandis","Crispae",36
"Cattleya bradei","Parviflorae",34
"Cattleya neokautskyi","Parviflorae",29
"Cattleya angereri","Parviflorae",25
"Cattleya liliputana","Parviflorae",25
"Cattleya ghillanyi","Parviflorae",22
"Cattleya acuensis","Sophronitis",22
"Cattleya fournieri","Parviflorae",22
"Cattleya gloedeniana","Parviflorae",21
"Cattleya iricolor","Cattleya",16
"Cattleya mantiqueirae","Sophronitis",16
"Cattleya araguaiensis","Cattleyella",15
"Cattleya sanguiloba","Parviflorae",13
"Cattleya porphyroglossa","Intermediae",10
"Cattleya pfisteri","Parviflorae",10
"Cattleya kautskyana","Parviflorae",9
"Cattleya endsfeldzii","Parviflorae",9
"Cattleya luetzelburgii","Parviflorae",8
"Cattleya reginae","Parviflorae",8
"Cattleya blumenscheinii","Parviflorae",7
"Cattleya kerrii","Intermediae",6
"Cattleya itambana","Parviflorae",6
"Cattleya tereticaulis","Parviflorae",3
"Cattleya kettieana","Parviflorae",3
"Cattleya pygmaea","Sophronitis",3
"Cattleya flavasulina","Parviflorae",3
"Cattleya tenuis","Intermediae",2
"Cattleya virens","Cattleyodes",2
"Cattleya hoehnei","Parviflorae",2
"Cattleya munchowiana","Parviflorae",2
"Cattleya mirandae","Parviflorae",2
"Cattleya alagoensis","Sophronitis",2
"Cattleya dichroma","Sophronitis",2
"Cattleya mooreana","Cattleya",1
"Cattleya presidentensis","Parviflorae",1
"Cattleya pabstii","Parviflorae",1
"Cattleya conceicionensis","Parviflorae",1
"Cattleya colnagoi","Parviflorae",1
"Cattleya alvarenguensis","Parviflorae",1
